"courseNumber","courseName","topicLabel","topicURL","lab","slide","worksheet","occurrences"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL","http://localhost:3030/play/courses/COMP6721/LAB/LE09.pdf",,,"1"
"6741","INTELLIGENT SYSTEMS","SPARQL","http://dbpedia.org/resource/SPARQL","http://localhost:3030/play/courses/COMP6721/LAB/LE09.pdf",,,"1"
