"courseSubject","courseNumber","courseName","topicLable"
"COMP","6721","APPLIED ARTIFICIAL INTELLIGENCE","Knowledge_Graphs"
"COMP","6741","INTELLIGENT SYSTEMS","Knowledge_Graphs"
