"courseNumber","courseName","topicLabel","topicURL","lab","slide","worksheet"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL","http://localhost:3030/play/courses/COMP6721/LAB/LE09.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6741/LEC/LS02.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6741/LEC/LS03.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6741/LEC/LS01.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6721/LEC/LS08.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6721/LEC/LS09.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6741/LEC/LS04.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,"http://localhost:3030/play/courses/COMP6741/LEC/LS07.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,,"http://localhost:3030/play/courses/COMP6741/WKS/WS03.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,,"http://localhost:3030/play/courses/COMP6741/WKS/WS06.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","SPARQL","http://dbpedia.org/resource/SPARQL",,,"http://localhost:3030/play/courses/COMP6721/WKS/WS08.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Computer-assisted_telephone_interviewing","http://dbpedia.org/resource/Computer-assisted_telephone_interviewing","http://localhost:3030/play/courses/COMP6721/LAB/LE07.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE03.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE04.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE02.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE05.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE06.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm","http://localhost:3030/play/courses/COMP6721/LAB/LE01.pdf",,
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS02.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS07.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS04.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS05.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6741/LEC/LS06.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS03.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6721/LEC/LS01.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,"http://localhost:3030/play/courses/COMP6741/LEC/LS08.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,,"http://localhost:3030/play/courses/COMP6741/WKS/WS05.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,,"http://localhost:3030/play/courses/COMP6721/WKS/WS03.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,,"http://localhost:3030/play/courses/COMP6721/WKS/WS02.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,,"http://localhost:3030/play/courses/COMP6741/WKS/WS06.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","Algorithm","http://dbpedia.org/resource/Algorithm",,,"http://localhost:3030/play/courses/COMP6721/WKS/WS01.pdf"
"6721","APPLIED ARTIFICIAL INTELLIGENCE","DNA_sequencing","http://dbpedia.org/resource/DNA_sequencing",,"http://localhost:3030/play/courses/COMP6721/LEC/LS10.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","DNA_sequencing","http://dbpedia.org/resource/DNA_sequencing",,"http://localhost:3030/play/courses/COMP6741/LEC/LS04.pdf",
"6721","APPLIED ARTIFICIAL INTELLIGENCE","DNA_sequencing","http://dbpedia.org/resource/DNA_sequencing",,"http://localhost:3030/play/courses/COMP6741/LEC/LS08.pdf",
